class,feature,mean,std,min,max,median,n_sections
VEGETATED_DUNES,red_mean,161.25301574929125,18.31689477269167,140.06,206.36666666666667,161.69408831908834,20
VEGETATED_DUNES,red_std,25.368223695948586,8.168318066798548,9.460385239983035,40.50085647242537,24.253261972966946,20
VEGETATED_DUNES,red_min,124.55,21.114911169223767,95.0,176.0,122.0,20
VEGETATED_DUNES,red_max,218.25,12.421861035245378,188.0,234.0,222.0,20
VEGETATED_DUNES,red_median,154.625,22.07038680413668,123.5,209.0,156.75,20
VEGETATED_DUNES,red_q25,142.4,22.424786568250298,109.25,201.0,141.375,20
VEGETATED_DUNES,red_q75,176.1375,20.132697122369187,142.75,213.0,174.375,20
VEGETATED_DUNES,red_iqr,33.7375,12.671579004752493,12.0,58.5,33.375,20
VEGETATED_DUNES,red_cv,0.16252458861014935,0.06295156528394154,0.04584260332730634,0.2853680216480312,0.155748850403442,20
VEGETATED_DUNES,red_range,93.7,25.141913003462648,48.0,134.0,93.0,20
VEGETATED_DUNES,red_skew,0.5778854191972855,0.5916444049048831,-0.9767772527169618,1.7749048076755374,0.6081441153275844,20
VEGETATED_DUNES,red_kurtosis,-0.2991397712291802,0.9238195912332693,-1.364268805801032,2.152953389518128,-0.5412247525227802,20
VEGETATED_DUNES,green_mean,152.21015741336194,20.671020202779147,128.6,203.76666666666668,153.12685185185185,20
VEGETATED_DUNES,green_std,28.09659528722189,9.346225199877297,10.559934764108263,45.93630780765907,27.156509381678628,20
VEGETATED_DUNES,green_min,113.4,21.93627133311402,78.0,171.0,112.5,20
VEGETATED_DUNES,green_max,215.75,13.852132649789649,181.0,230.0,220.5,20
VEGETATED_DUNES,green_median,145.35,25.510627300463582,112.0,206.5,145.5,20
VEGETATED_DUNES,green_q25,130.9625,25.481581970844,90.75,197.75,132.25,20
VEGETATED_DUNES,green_q75,168.65,22.4127548272712,132.0,212.0,167.75,20
VEGETATED_DUNES,green_iqr,37.6875,14.276377940684505,14.25,63.0,37.0,20
VEGETATED_DUNES,green_cv,0.19223193818701864,0.07885945682081233,0.05182366152839726,0.35492607925534925,0.17574262463670276,20
VEGETATED_DUNES,green_range,102.35,27.44424970927905,49.0,150.0,104.5,20
VEGETATED_DUNES,green_skew,0.6565766268716484,0.6222387514326291,-1.0427156199746914,1.9080359368507176,0.7542975392070848,20
VEGETATED_DUNES,green_kurtosis,-0.19932459421316423,1.0162728134639036,-1.5471547187390293,2.470897390846429,-0.5451070158151892,20
VEGETATED_DUNES,blue_mean,131.88687465069455,22.1250569426863,105.72972972972973,196.76666666666668,129.53632478632477,20
VEGETATED_DUNES,blue_std,29.490968637122297,9.860125797994408,14.248235758234149,46.95716796808306,27.611137052164572,20
VEGETATED_DUNES,blue_min,96.0,20.8806130178211,68.0,155.0,95.0,20
VEGETATED_DUNES,blue_max,204.55,17.030854353202603,154.0,221.0,211.0,20
VEGETATED_DUNES,blue_median,122.75,26.49404103805827,91.5,200.0,118.75,20
VEGETATED_DUNES,blue_q25,110.7125,25.48829388170185,75.75,188.75,110.0,20
VEGETATED_DUNES,blue_q75,145.45,26.373656114427998,110.0,208.0,144.0,20
VEGETATED_DUNES,blue_iqr,34.7375,12.564432621700956,16.25,59.0,35.0,20
VEGETATED_DUNES,blue_cv,0.23370607271308957,0.09555020322529205,0.07241183681972001,0.4101503898433523,0.23007390730729047,20
